id_client_sk,id_client_nk,nom_complet,tranche_age,sexe,ville,region_admin,segment_client,canal_acquisition,date_debut,date_fin,est_actif
21,C0938,Houda Hakimi,65+,f,Meknès,Non renseignée,Bronze,Google Ads,2026-04-24,9999-12-31,True
22,C4267,Soufiane Guessous,55-64,m,Béni Mellal,Non renseignée,Bronze,Référencement,2026-04-24,9999-12-31,True
23,C4283,Samira Tazi,65+,f,El Jadida,Non renseignée,Bronze,Référencement,2026-04-24,9999-12-31,True
24,C2516,Brahim Idrissi,65+,m,Meknès,Non renseignée,Bronze,Référencement,2026-04-24,9999-12-31,True
25,C2634,Samira Ouazzani,25-34,f,Oujda,Non renseignée,Bronze,Email Marketing,2026-04-24,9999-12-31,True
26,C1022,Amina Tazi,18-24,f,Agadir,Non renseignée,Bronze,Instagram,2026-04-24,9999-12-31,True
27,C2825,Imane Tahiri,65+,f,Oujda,Non renseignée,Bronze,TikTok,2026-04-24,9999-12-31,True
28,C1330,Hamza El Amrani,55-64,m,Nador,Non renseignée,Bronze,Facebook,2026-04-24,9999-12-31,True
29,C3953,Samira El Khoury,65+,f,Béni Mellal,Non renseignée,Bronze,Email Marketing,2026-04-24,9999-12-31,True
30,C4288,Khadija Rahmani,65+,f,El Jadida,Non renseignée,Bronze,Email Marketing,2026-04-24,9999-12-31,True
31,C1021,Zineb El Amrani,<18,f,Mohammedia,Non renseignée,Bronze,TikTok,2026-04-24,9999-12-31,True
32,C1333,Hamza Rahmani,35-44,m,Tanger,Non renseignée,Bronze,TikTok,2026-04-24,9999-12-31,True
33,C3210,Hamza Kettani,25-34,m,Tétouan,Non renseignée,Bronze,Google Ads,2026-04-24,9999-12-31,True
34,C4625,Aicha Chraibi,65+,f,Oujda,Non renseignée,Bronze,Instagram,2026-04-24,9999-12-31,True
35,C2812,Mehdi Ouazzani,65+,m,Oujda,Non renseignée,Bronze,Facebook,2026-04-24,9999-12-31,True
36,C4416,Mehdi Tahiri,35-44,m,Oujda,Non renseignée,Bronze,Email Marketing,2026-04-24,9999-12-31,True
37,C4855,Hassan Benkirane,45-54,m,Kénitra,Non renseignée,Bronze,Référencement,2026-04-24,9999-12-31,True
38,C1735,Ghita Benslimane,65+,f,Marrakech,Non renseignée,Bronze,TikTok,2026-04-24,9999-12-31,True
39,C0473,Nadia Berrada,18-24,f,Rabat,Non renseignée,Bronze,Instagram,2026-04-24,9999-12-31,True
40,C0190,Brahim Berrada,45-54,m,Casablanca,Non renseignée,Bronze,Email Marketing,2026-04-24,9999-12-31,True
41,C0837,Zineb Ziani,45-54,f,Fès,Non renseignée,Bronze,Référencement,2026-04-24,9999-12-31,True
42,C3233,Ahmed Bouzid,65+,m,Mohammedia,Non renseignée,Bronze,Bouche-à-oreille,2026-04-24,9999-12-31,True
43,C1791,Zakaria Benslimane,65+,m,Mohammedia,Non renseignée,Gold,Google Ads,2026-04-24,9999-12-31,True
44,C0489,Omar Tazi,18-24,m,Tanger,Non renseignée,Gold,Bouche-à-oreille,2026-04-24,9999-12-31,True
45,C4412,Youssef Alaoui,65+,m,Salé,Non renseignée,Bronze,Instagram,2026-04-24,9999-12-31,True
46,C4186,Ghita Tahiri,65+,f,Béni Mellal,Non renseignée,Gold,TikTok,2026-04-24,9999-12-31,True
47,C2278,Reda Rahmani,65+,m,Oujda,Non renseignée,Bronze,Bouche-à-oreille,2026-04-24,9999-12-31,True
48,C2424,Karim Bouzid,55-64,m,Casablanca,Non renseignée,Gold,Référencement,2026-04-24,9999-12-31,True
49,C3134,Omar Naciri,45-54,m,Béni Mellal,Non renseignée,Gold,Google Ads,2026-04-24,9999-12-31,True
50,C2833,Sanaa Chaoui,45-54,f,Agadir,Non renseignée,Bronze,TikTok,2026-04-24,9999-12-31,True
51,C0360,Hamza Ziani,45-54,m,Kénitra,Non renseignée,Bronze,Bouche-à-oreille,2026-04-24,9999-12-31,True
52,C1153,Mohammed Mernissi,35-44,m,Agadir,Non renseignée,Gold,Bouche-à-oreille,2026-04-24,9999-12-31,True
53,C2196,Omar Chraibi,18-24,m,Mohammedia,Non renseignée,Bronze,TikTok,2026-04-24,9999-12-31,True
54,C2360,Zineb Filali,35-44,f,Agadir,Non renseignée,Bronze,Bouche-à-oreille,2026-04-24,9999-12-31,True
55,C4075,Amine Hakimi,25-34,m,Agadir,Non renseignée,Gold,Instagram,2026-04-24,9999-12-31,True
56,C1664,Abdel Naciri,18-24,m,El Jadida,Non renseignée,Bronze,Référencement,2026-04-24,9999-12-31,True
57,C3879,Youssef Mernissi,18-24,m,Tanger,Non renseignée,Bronze,TikTok,2026-04-24,9999-12-31,True
58,C2491,Reda El Khoury,55-64,m,Fès,Non renseignée,Bronze,Instagram,2026-04-24,9999-12-31,True
59,C0218,Khadija Hajji,55-64,f,Oujda,Non renseignée,Bronze,Google Ads,2026-04-24,9999-12-31,True
60,C4788,Nadia El Khoury,25-34,f,Meknès,Non renseignée,Bronze,Instagram,2026-04-24,9999-12-31,True
61,C4693,Imane Rahmani,55-64,f,Tétouan,Non renseignée,Bronze,Instagram,2026-04-24,9999-12-31,True
62,C4773,Omar Idrissi,65+,m,Rabat,Non renseignée,Bronze,Bouche-à-oreille,2026-04-24,9999-12-31,True
63,C4263,Hamza Chaoui,35-44,m,Rabat,Non renseignée,Bronze,Email Marketing,2026-04-24,9999-12-31,True
64,C0077,Nabil Hajji,35-44,m,Meknès,Non renseignée,Gold,Facebook,2026-04-24,9999-12-31,True
65,C1817,Amine Moussaoui,45-54,m,El Jadida,Non renseignée,Bronze,Facebook,2026-04-24,9999-12-31,True
66,C2240,Hajar Bennani,<18,f,Oujda,Non renseignée,Gold,Email Marketing,2026-04-24,9999-12-31,True
67,C4465,Salma Benslimane,35-44,f,Béni Mellal,Non renseignée,Gold,TikTok,2026-04-24,9999-12-31,True
68,C0852,Sanaa Bouzid,45-54,f,Nador,Non renseignée,Bronze,Bouche-à-oreille,2026-04-24,9999-12-31,True
69,C3076,Hamza Alaoui,45-54,m,El Jadida,Non renseignée,Bronze,TikTok,2026-04-24,9999-12-31,True
70,C3319,Noura Lahlou,45-54,f,Salé,Non renseignée,Gold,TikTok,2026-04-24,9999-12-31,True
71,C2943,Abdel Regragui,35-44,m,Kénitra,Non renseignée,Bronze,Google Ads,2026-04-24,9999-12-31,True
72,C3281,Adil Hakimi,55-64,m,Salé,Non renseignée,Bronze,Email Marketing,2026-04-24,9999-12-31,True
73,C1579,Samira Guessous,25-34,f,Fès,Non renseignée,Bronze,Email Marketing,2026-04-24,9999-12-31,True
74,C0679,Mehdi Regragui,65+,m,Rabat,Non renseignée,Gold,Google Ads,2026-04-24,9999-12-31,True
75,C0518,Rachid Regragui,55-64,m,Nador,Non renseignée,Gold,TikTok,2026-04-24,9999-12-31,True
76,C2317,Fatima Filali,65+,f,Oujda,Non renseignée,Gold,Facebook,2026-04-24,9999-12-31,True
77,C3584,Salma Squalli,35-44,f,Oujda,Non renseignée,Bronze,Référencement,2026-04-24,9999-12-31,True
78,C2187,Rachid Naciri,35-44,m,Agadir,Non renseignée,Bronze,Google Ads,2026-04-24,9999-12-31,True
79,C3224,Adil El Amrani,65+,m,Tanger,Non renseignée,Gold,Facebook,2026-04-24,9999-12-31,True
80,C4343,Rachid Guessous,65+,m,Agadir,Non renseignée,Bronze,Email Marketing,2026-04-24,9999-12-31,True
81,C1917,Houda Kettani,45-54,f,Meknès,Non renseignée,Bronze,Bouche-à-oreille,2026-04-24,9999-12-31,True
82,C1156,Wiam Bennani,45-54,f,Tanger,Non renseignée,Bronze,Bouche-à-oreille,2026-04-24,9999-12-31,True
83,C4439,Sanaa Mansouri,35-44,f,Tanger,Non renseignée,Bronze,Bouche-à-oreille,2026-04-24,9999-12-31,True
84,C3835,Karim El Khoury,25-34,m,Nador,Non renseignée,Gold,Instagram,2026-04-24,9999-12-31,True
85,C3304,Hajar Ouazzani,18-24,f,Tanger,Non renseignée,Bronze,Instagram,2026-04-24,9999-12-31,True
86,C3945,Hamza Tahiri,35-44,m,Nador,Non renseignée,Bronze,Google Ads,2026-04-24,9999-12-31,True
87,C3851,Mohammed Idrissi,45-54,m,Marrakech,Non renseignée,Bronze,TikTok,2026-04-24,9999-12-31,True
88,C0677,Rachid Chaoui,45-54,m,Meknès,Non renseignée,Bronze,Email Marketing,2026-04-24,9999-12-31,True
89,C0957,Amina Alaoui,55-64,f,Rabat,Non renseignée,Gold,Facebook,2026-04-24,9999-12-31,True
90,C0587,Ahmed Hajji,65+,m,Mohammedia,Non renseignée,Bronze,Email Marketing,2026-04-24,9999-12-31,True
91,C0173,Amine Berrada,55-64,m,Meknès,Non renseignée,Bronze,Référencement,2026-04-24,9999-12-31,True
92,C4541,Nabil Kettani,25-34,m,Casablanca,Non renseignée,Bronze,Google Ads,2026-04-24,9999-12-31,True
93,C4776,Sanaa Moussaoui,35-44,f,Kénitra,Non renseignée,Bronze,Référencement,2026-04-24,9999-12-31,True
94,C2811,Soufiane Benkirane,25-34,m,Tétouan,Non renseignée,Gold,Référencement,2026-04-24,9999-12-31,True
95,C4246,Brahim Tahiri,55-64,m,Oujda,Non renseignée,Bronze,TikTok,2026-04-24,9999-12-31,True
96,C2120,Zakaria Regragui,18-24,m,Kénitra,Non renseignée,Bronze,TikTok,2026-04-24,9999-12-31,True
97,C1644,Rachid Bennani,25-34,m,Mohammedia,Non renseignée,Bronze,Email Marketing,2026-04-24,9999-12-31,True
98,C1257,Samir Sabri,35-44,m,Rabat,Non renseignée,Bronze,Facebook,2026-04-24,9999-12-31,True
99,C1606,Soufiane El Khoury,45-54,m,Tétouan,Non renseignée,Gold,Google Ads,2026-04-24,9999-12-31,True
100,C2116,Salma Guessous,55-64,f,Rabat,Non renseignée,Gold,Email Marketing,2026-04-24,9999-12-31,True
101,C3275,Loubna Benkirane,65+,f,Fès,Non renseignée,Bronze,Référencement,2026-04-24,9999-12-31,True
102,C0420,Hajar El Amrani,35-44,f,Casablanca,Non renseignée,Bronze,Bouche-à-oreille,2026-04-24,9999-12-31,True
103,C0919,Laila Lahlou,65+,f,Fès,Non renseignée,Gold,TikTok,2026-04-24,9999-12-31,True
104,C4600,Hanane Hakimi,65+,f,Rabat,Non renseignée,Gold,Référencement,2026-04-24,9999-12-31,True
105,C3260,Ahmed Chraibi,45-54,m,Fès,Non renseignée,Bronze,Instagram,2026-04-24,9999-12-31,True
106,C3481,Abdel Idrissi,65+,m,Béni Mellal,Non renseignée,Gold,TikTok,2026-04-24,9999-12-31,True
107,C4418,Salma Filali,65+,f,Meknès,Non renseignée,Bronze,Instagram,2026-04-24,9999-12-31,True
108,C4436,Ghita Mansouri,55-64,f,Béni Mellal,Non renseignée,Bronze,Bouche-à-oreille,2026-04-24,9999-12-31,True
109,C1725,Amine Bouzid,35-44,m,Mohammedia,Non renseignée,Bronze,TikTok,2026-04-24,9999-12-31,True
110,C4249,Zineb El Khoury,25-34,f,El Jadida,Non renseignée,Bronze,Instagram,2026-04-24,9999-12-31,True
111,C4435,Ghita El Amrani,45-54,f,Casablanca,Non renseignée,Bronze,Bouche-à-oreille,2026-04-24,9999-12-31,True
112,C2132,Mehdi Lahlou,45-54,m,Agadir,Non renseignée,Bronze,Email Marketing,2026-04-24,9999-12-31,True
113,C1888,Hassan Ouazzani,45-54,m,Tanger,Non renseignée,Bronze,Google Ads,2026-04-24,9999-12-31,True
114,C0914,Khadija Ziani,45-54,f,El Jadida,Non renseignée,Silver,Instagram,2026-04-24,9999-12-31,True
115,C3781,Reda Ouazzani,25-34,m,Meknès,Non renseignée,Bronze,Facebook,2026-04-24,9999-12-31,True
116,C0109,Amina Lahlou,35-44,f,Nador,Non renseignée,Gold,Google Ads,2026-04-24,9999-12-31,True
117,C0285,Hajar Berrada,65+,f,El Jadida,Non renseignée,Bronze,Email Marketing,2026-04-24,9999-12-31,True
118,C4413,Wiam Alaoui,35-44,f,Casablanca,Non renseignée,Gold,Facebook,2026-04-24,9999-12-31,True
119,C3678,Brahim Moussaoui,65+,m,Agadir,Non renseignée,Silver,TikTok,2026-04-24,9999-12-31,True
120,C1315,Wiam Chraibi,65+,f,Fès,Non renseignée,Bronze,Bouche-à-oreille,2026-04-24,9999-12-31,True
121,C1621,Khalid Idrissi,45-54,m,Marrakech,Non renseignée,Gold,Bouche-à-oreille,2026-04-24,9999-12-31,True
122,C1981,Zakaria Benkirane,65+,m,Fès,Non renseignée,Bronze,Google Ads,2026-04-24,9999-12-31,True
123,C2849,Ghita Hakimi,45-54,f,Kénitra,Non renseignée,Gold,Facebook,2026-04-24,9999-12-31,True
124,C0270,Youssef Berrada,55-64,m,Marrakech,Non renseignée,Bronze,Instagram,2026-04-24,9999-12-31,True
125,C4528,Mohammed Moussaoui,65+,m,Agadir,Non renseignée,Bronze,TikTok,2026-04-24,9999-12-31,True
126,C1179,Loubna Hakimi,45-54,f,Oujda,Non renseignée,Bronze,Facebook,2026-04-24,9999-12-31,True
127,C0153,Wiam Lahlou,18-24,f,El Jadida,Non renseignée,Bronze,Référencement,2026-04-24,9999-12-31,True
128,C1351,Wiam Hakimi,65+,f,Béni Mellal,Non renseignée,Bronze,Référencement,2026-04-24,9999-12-31,True
129,C1744,Nabil Benkirane,,m,Agadir,Non renseignée,Bronze,Email Marketing,2026-04-24,9999-12-31,True
130,C0075,Brahim Berrada,25-34,m,Agadir,Non renseignée,Bronze,TikTok,2026-04-24,9999-12-31,True
131,C1688,Samir Mernissi,35-44,m,Meknès,Non renseignée,Bronze,Bouche-à-oreille,2026-04-24,9999-12-31,True
132,C4546,Reda Ouazzani,35-44,m,Mohammedia,Non renseignée,Bronze,Email Marketing,2026-04-24,9999-12-31,True
133,C0892,Sara Berrada,65+,f,Fès,Non renseignée,Bronze,Google Ads,2026-04-24,9999-12-31,True
134,C4167,Abdel Idrissi,55-64,m,Rabat,Non renseignée,Bronze,Référencement,2026-04-24,9999-12-31,True
135,C0425,Mohammed Mernissi,45-54,m,Meknès,Non renseignée,Gold,Référencement,2026-04-24,9999-12-31,True
136,C3966,Omar Ouazzani,25-34,m,Oujda,Non renseignée,Bronze,Instagram,2026-04-24,9999-12-31,True
137,C2951,Imane Lahlou,25-34,f,Agadir,Non renseignée,Bronze,Instagram,2026-04-24,9999-12-31,True
138,C3198,Aicha Chaoui,,f,Nador,Non renseignée,Bronze,Email Marketing,2026-04-24,9999-12-31,True
139,C0334,Brahim Berrada,55-64,m,Salé,Non renseignée,Bronze,Instagram,2026-04-24,9999-12-31,True
140,C3220,Mehdi Filali,45-54,m,Fès,Non renseignée,Gold,Bouche-à-oreille,2026-04-24,9999-12-31,True
141,C4170,Reda Mernissi,65+,m,Kénitra,Non renseignée,Bronze,Email Marketing,2026-04-24,9999-12-31,True
142,C1327,Salma Rahmani,<18,f,Tétouan,Non renseignée,Bronze,Email Marketing,2026-04-24,9999-12-31,True
143,C0226,Nabil Tahiri,,m,Casablanca,Non renseignée,Bronze,Email Marketing,2026-04-24,9999-12-31,True
144,C1871,Soufiane Berrada,18-24,m,Oujda,Non renseignée,Bronze,TikTok,2026-04-24,9999-12-31,True
145,C0267,Houda El Amrani,65+,f,Tétouan,Non renseignée,Gold,Facebook,2026-04-24,9999-12-31,True
146,C2003,Ilyas Tazi,,m,Agadir,Non renseignée,Bronze,Instagram,2026-04-24,9999-12-31,True
147,C0219,Wiam Tazi,55-64,f,Mohammedia,Non renseignée,Bronze,Facebook,2026-04-24,9999-12-31,True
148,C3595,Imane Filali,18-24,f,Marrakech,Non renseignée,Bronze,Instagram,2026-04-24,9999-12-31,True
149,C1706,Imane Filali,35-44,f,Béni Mellal,Non renseignée,Bronze,Facebook,2026-04-24,9999-12-31,True
150,C1823,Brahim Benslimane,55-64,m,Salé,Non renseignée,Bronze,Référencement,2026-04-24,9999-12-31,True
151,C3805,Imane El Khoury,35-44,f,Tétouan,Non renseignée,Gold,TikTok,2026-04-24,9999-12-31,True
152,C4461,Hamza Fassi,55-64,m,Oujda,Non renseignée,Bronze,Instagram,2026-04-24,9999-12-31,True
153,C2997,Hamza Guessous,65+,m,Casablanca,Non renseignée,Gold,Référencement,2026-04-24,9999-12-31,True
154,C2857,Amina Bouzid,18-24,f,El Jadida,Non renseignée,Bronze,Instagram,2026-04-24,9999-12-31,True
155,C4859,Fatima Berrada,55-64,f,Mohammedia,Non renseignée,Gold,Email Marketing,2026-04-24,9999-12-31,True
156,C4491,Hamza Mansouri,45-54,m,El Jadida,Non renseignée,Bronze,Email Marketing,2026-04-24,9999-12-31,True
157,C0641,Khalid Tahiri,25-34,m,Meknès,Non renseignée,Gold,Instagram,2026-04-24,9999-12-31,True
158,C2150,Wiam Moussaoui,65+,f,Tanger,Non renseignée,Bronze,Référencement,2026-04-24,9999-12-31,True
159,C2703,Khadija Guessous,55-64,f,El Jadida,Non renseignée,Bronze,Facebook,2026-04-24,9999-12-31,True
160,C0382,Rachid Hakimi,65+,m,Rabat,Non renseignée,Silver,TikTok,2026-04-24,9999-12-31,True
161,C3985,Mohammed Fassi,35-44,m,Salé,Non renseignée,Gold,Instagram,2026-04-24,9999-12-31,True
162,C2447,Hanane Guessous,55-64,f,Salé,Non renseignée,Bronze,Référencement,2026-04-24,9999-12-31,True
163,C4409,Samira Mansouri,35-44,f,Mohammedia,Non renseignée,Gold,Google Ads,2026-04-24,9999-12-31,True
164,C3205,Mehdi Rahmani,65+,m,Rabat,Non renseignée,Bronze,Google Ads,2026-04-24,9999-12-31,True
165,C0103,Khadija Berrada,18-24,f,El Jadida,Non renseignée,Bronze,Bouche-à-oreille,2026-04-24,9999-12-31,True
166,C4447,Hajar Idrissi,25-34,f,Meknès,Non renseignée,Bronze,Bouche-à-oreille,2026-04-24,9999-12-31,True
167,C0993,Imane Tazi,35-44,f,Mohammedia,Non renseignée,Gold,Bouche-à-oreille,2026-04-24,9999-12-31,True
168,C4015,Samira Benkirane,55-64,f,Béni Mellal,Non renseignée,Gold,Facebook,2026-04-24,9999-12-31,True
169,C4213,Amina Chaoui,35-44,f,Béni Mellal,Non renseignée,Bronze,Instagram,2026-04-24,9999-12-31,True
170,C4727,Youssef Tahiri,25-34,m,Salé,Non renseignée,Bronze,Google Ads,2026-04-24,9999-12-31,True
171,C0167,Hassan Chraibi,35-44,m,Béni Mellal,Non renseignée,Bronze,Référencement,2026-04-24,9999-12-31,True
172,C1635,Zineb Tazi,45-54,f,Marrakech,Non renseignée,Gold,Email Marketing,2026-04-24,9999-12-31,True
173,C3533,Samira Rahmani,35-44,f,Fès,Non renseignée,Silver,Google Ads,2026-04-24,9999-12-31,True
174,C2530,Rachid El Khoury,45-54,m,Marrakech,Non renseignée,Bronze,Facebook,2026-04-24,9999-12-31,True
175,C0494,Brahim Bennani,65+,m,Oujda,Non renseignée,Gold,Bouche-à-oreille,2026-04-24,9999-12-31,True
176,C1821,Hajar Idrissi,35-44,f,El Jadida,Non renseignée,Bronze,Google Ads,2026-04-24,9999-12-31,True
177,C1091,Mehdi Bennani,55-64,m,Béni Mellal,Non renseignée,Bronze,Instagram,2026-04-24,9999-12-31,True
178,C1618,Khadija Ziani,25-34,f,Meknès,Non renseignée,Bronze,TikTok,2026-04-24,9999-12-31,True
179,C2830,Salma Sabri,65+,f,Nador,Non renseignée,Bronze,Instagram,2026-04-24,9999-12-31,True
180,C3974,Khadija Hajji,55-64,f,Salé,Non renseignée,Bronze,Instagram,2026-04-24,9999-12-31,True
181,C3914,Loubna Chraibi,18-24,f,Salé,Non renseignée,Bronze,TikTok,2026-04-24,9999-12-31,True
182,C0778,Aicha Bouzid,25-34,f,Casablanca,Non renseignée,Bronze,Instagram,2026-04-24,9999-12-31,True
183,C2935,Hanane Bennani,65+,f,Meknès,Non renseignée,Gold,Instagram,2026-04-24,9999-12-31,True
184,C1346,Houda El Khoury,65+,f,Tétouan,Non renseignée,Bronze,Facebook,2026-04-24,9999-12-31,True
185,C0100,Loubna Bouzid,55-64,f,Salé,Non renseignée,Gold,Référencement,2026-04-24,9999-12-31,True
186,C4679,Zakaria Berrada,25-34,m,Salé,Non renseignée,Silver,Google Ads,2026-04-24,9999-12-31,True
187,C2115,Wiam Idrissi,55-64,f,Fès,Non renseignée,Bronze,Facebook,2026-04-24,9999-12-31,True
188,C3165,Noura Mernissi,65+,f,Fès,Non renseignée,Bronze,TikTok,2026-04-24,9999-12-31,True
189,C1444,Ilyas Tahiri,35-44,m,El Jadida,Non renseignée,Bronze,Référencement,2026-04-24,9999-12-31,True
190,C2659,Mehdi Regragui,65+,m,Tanger,Non renseignée,Bronze,TikTok,2026-04-24,9999-12-31,True
191,C2568,Khalid Tazi,45-54,m,Rabat,Non renseignée,Gold,Instagram,2026-04-24,9999-12-31,True
192,C2482,Houda Idrissi,25-34,f,Meknès,Non renseignée,Bronze,Instagram,2026-04-24,9999-12-31,True
193,C3443,Ilyas Tahiri,25-34,m,Tétouan,Non renseignée,Bronze,TikTok,2026-04-24,9999-12-31,True
194,C1660,Zakaria Lahlou,18-24,m,Agadir,Non renseignée,Bronze,Instagram,2026-04-24,9999-12-31,True
195,C4816,Youssef El Khoury,25-34,m,Marrakech,Non renseignée,Bronze,Référencement,2026-04-24,9999-12-31,True
196,C2779,Ghita Filali,55-64,f,Casablanca,Non renseignée,Bronze,Facebook,2026-04-24,9999-12-31,True
197,C1910,Hassan Benslimane,55-64,m,Meknès,Non renseignée,Bronze,Google Ads,2026-04-24,9999-12-31,True
198,C0358,Karim Benkirane,65+,m,El Jadida,Non renseignée,Bronze,Bouche-à-oreille,2026-04-24,9999-12-31,True
199,C1885,Ilyas Tahiri,18-24,m,Meknès,Non renseignée,Bronze,Email Marketing,2026-04-24,9999-12-31,True
200,C4150,Brahim Rahmani,35-44,m,Kénitra,Non renseignée,Gold,TikTok,2026-04-24,9999-12-31,True
201,C0917,Hajar Moussaoui,65+,f,Agadir,Non renseignée,Bronze,Instagram,2026-04-24,9999-12-31,True
202,C0558,Meryem El Amrani,55-64,f,Kénitra,Non renseignée,Bronze,Bouche-à-oreille,2026-04-24,9999-12-31,True
203,C4562,Mohammed Fassi,45-54,m,Marrakech,Non renseignée,Bronze,Google Ads,2026-04-24,9999-12-31,True
204,C4529,Adil Bennani,45-54,m,Salé,Non renseignée,Bronze,Facebook,2026-04-24,9999-12-31,True
205,C2345,Ghita Rahmani,55-64,f,Oujda,Non renseignée,Bronze,TikTok,2026-04-24,9999-12-31,True
206,C2887,Zineb Chaoui,65+,f,El Jadida,Non renseignée,Bronze,Bouche-à-oreille,2026-04-24,9999-12-31,True
207,C4364,Sanaa Idrissi,25-34,f,Fès,Non renseignée,Bronze,Référencement,2026-04-24,9999-12-31,True
208,C0618,Mehdi Sabri,65+,m,Tanger,Non renseignée,Bronze,Facebook,2026-04-24,9999-12-31,True
209,C4051,Samir Chraibi,45-54,m,Salé,Non renseignée,Bronze,Google Ads,2026-04-24,9999-12-31,True
210,C1511,Nabil Guessous,25-34,m,Casablanca,Non renseignée,Bronze,Email Marketing,2026-04-24,9999-12-31,True
211,C4536,Brahim Hakimi,35-44,m,Béni Mellal,Non renseignée,Bronze,Bouche-à-oreille,2026-04-24,9999-12-31,True
212,C1135,Karim Rahmani,35-44,m,Salé,Non renseignée,Bronze,Instagram,2026-04-24,9999-12-31,True
213,C4766,Aicha Benslimane,65+,f,Fès,Non renseignée,Bronze,Bouche-à-oreille,2026-04-24,9999-12-31,True
214,C4688,Reda Mansouri,65+,m,Marrakech,Non renseignée,Bronze,TikTok,2026-04-24,9999-12-31,True
215,C3609,Hanane El Khoury,25-34,f,Oujda,Non renseignée,Gold,TikTok,2026-04-24,9999-12-31,True
216,C2716,Noura Hajji,35-44,f,Meknès,Non renseignée,Bronze,Référencement,2026-04-24,9999-12-31,True
217,C3471,Amine Benslimane,55-64,m,Rabat,Non renseignée,Bronze,Référencement,2026-04-24,9999-12-31,True
218,C4114,Samira Tazi,65+,f,Fès,Non renseignée,Bronze,Instagram,2026-04-24,9999-12-31,True
219,C0172,Nadia Chraibi,35-44,f,Marrakech,Non renseignée,Bronze,Référencement,2026-04-24,9999-12-31,True
220,C0583,Reda Rahmani,65+,m,Tétouan,Non renseignée,Bronze,Instagram,2026-04-24,9999-12-31,True
221,C2601,Zineb Benkirane,65+,f,Béni Mellal,Non renseignée,Bronze,Email Marketing,2026-04-24,9999-12-31,True
222,C4967,Abdel Benslimane,45-54,m,Fès,Non renseignée,Bronze,TikTok,2026-04-24,9999-12-31,True
223,C3480,Ghita Squalli,55-64,f,Béni Mellal,Non renseignée,Bronze,Référencement,2026-04-24,9999-12-31,True
224,C3636,Rachid Bennani,25-34,m,Fès,Non renseignée,Silver,Google Ads,2026-04-24,9999-12-31,True
225,C0630,Ahmed Hajji,,m,Tanger,Non renseignée,Bronze,Google Ads,2026-04-24,9999-12-31,True
226,C4653,Zakaria Hakimi,35-44,m,Oujda,Non renseignée,Silver,Google Ads,2026-04-24,9999-12-31,True
227,C1075,Wiam Sabri,45-54,f,Oujda,Non renseignée,Bronze,Email Marketing,2026-04-24,9999-12-31,True
228,C1883,Imane Rahmani,25-34,f,Meknès,Non renseignée,Bronze,Instagram,2026-04-24,9999-12-31,True
